epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1196.65,0.23618,0.25223,0.19959,0.86695,0.98483,0.25135,0.30395,0.2971,0.98564,0.25135,0.31028,0.30198,0.18989,0.3445,0.17902,0.83101,0.0012278,0.0012278,0.0012278
41,1313.34,0.2435,0.2666,0.20404,0.8701,0.98823,0.2519,0.27744,0.27335,0.98823,0.2519,0.27994,0.27434,0.19335,0.37063,0.17728,0.82237,0.001208,0.001208,0.001208
42,1425.69,0.23789,0.26069,0.20113,0.86616,0.99712,0.25195,0.28611,0.28188,0.99712,0.25195,0.29192,0.28493,0.18051,0.33974,0.16914,0.81195,0.0011882,0.0011882,0.0011882
43,1537.9,0.23987,0.26659,0.20392,0.87751,0.99982,0.25195,0.2874,0.28428,0.99982,0.25195,0.29266,0.2871,0.18207,0.31277,0.16245,0.8051,0.0011684,0.0011684,0.0011684
44,1649.29,0.23657,0.25742,0.20168,0.86462,0.99975,0.25195,0.26992,0.26641,0.99975,0.25195,0.27327,0.26966,0.1712,0.33261,0.15325,0.80374,0.0011486,0.0011486,0.0011486
45,1761.49,0.23765,0.26577,0.20309,0.8689,0.99978,0.25195,0.27141,0.26907,0.99978,0.25195,0.27523,0.27105,0.16612,0.34209,0.15955,0.80007,0.0011288,0.0011288,0.0011288
46,1871.98,0.23666,0.27959,0.19927,0.86362,0.99983,0.25195,0.27448,0.27301,0.99983,0.25195,0.28249,0.27535,0.16768,0.34454,0.14858,0.79195,0.001109,0.001109,0.001109
47,1982.07,0.24004,0.26954,0.2011,0.86177,0.99976,0.25195,0.27767,0.27617,0.99976,0.25195,0.28253,0.27787,0.17679,0.37154,0.15829,0.79643,0.0010892,0.0010892,0.0010892
48,2093.33,0.24437,0.29559,0.20517,0.86495,0.99983,0.25195,0.27129,0.26963,0.99983,0.25195,0.28006,0.27327,0.17825,0.36829,0.16524,0.79444,0.0010694,0.0010694,0.0010694
49,2206.14,0.24541,0.30124,0.21354,0.86506,0.99983,0.25195,0.26699,0.26417,0.99983,0.25195,0.27632,0.26853,0.1839,0.41054,0.15897,0.79074,0.0010496,0.0010496,0.0010496
50,2319.52,0.24366,0.29707,0.20564,0.86476,0.99983,0.25195,0.27423,0.27162,0.99983,0.25195,0.28296,0.27572,0.17264,0.40908,0.15794,0.78263,0.0010298,0.0010298,0.0010298
51,2442.07,0.23623,0.29789,0.19903,0.85984,0.99984,0.25195,0.27129,0.26973,0.99984,0.25195,0.28097,0.27358,0.16717,0.40744,0.15199,0.78225,0.00101,0.00101,0.00101
52,2560.27,0.2353,0.28794,0.19777,0.86129,0.99974,0.25195,0.27309,0.27143,0.99974,0.25195,0.28726,0.27751,0.17321,0.42104,0.16004,0.78606,0.0009902,0.0009902,0.0009902
53,2673.8,0.23385,0.29594,0.19856,0.85972,0.99736,0.25195,0.27025,0.26762,0.99736,0.25195,0.28215,0.27343,0.17139,0.47617,0.16883,0.78844,0.0009704,0.0009704,0.0009704
54,2787.05,0.23521,0.29631,0.19778,0.86286,0.99981,0.25195,0.27342,0.2706,0.99981,0.25195,0.2871,0.27682,0.17627,0.40258,0.15598,0.78916,0.0009506,0.0009506,0.0009506
55,2894.73,0.23124,0.28751,0.19295,0.85621,0.99976,0.25195,0.27366,0.26848,0.99976,0.25195,0.28602,0.2738,0.18533,0.52601,0.16921,0.80484,0.0009308,0.0009308,0.0009308
56,3006.7,0.23337,0.29103,0.19524,0.86069,0.99984,0.25195,0.26922,0.26757,0.99984,0.25195,0.28343,0.27329,0.16681,0.48069,0.14853,0.78706,0.000911,0.000911,0.000911
